name,price,barcode,details
doctor-sleep-(1,£19.99,5051892227834,"Actors,Emily Alyn Lind, Ewan McGregor, Bruce Greenwood, Carl Lumbly, Jocelin Donahue, Rebecca Ferguson, Alex Essoe, Zahn McClarnon, Kyliegh Curran, Zackary Momoh,Directed by,Mike Flanagan,Additional info,Language(s): English, 4K: Canadian French, Italian, Latin Spanish, Russian; Blu-ray: Castilian Spanish, Parisian French, Russian, Hard of Hearing Subtitles: English, Italian, Subtitles: Arabic, Castilian Spanish, Danish, Dutch, Estonian, European Portuguese, Finnish, Greek, Korean, Latvian, Lithuanian, Norwegian, Parisian French, Russian, Simplified Chinese, Swedish, Interactive Menu, Screen ratio 1:1.78, Dolby TrueHD, Dolby Digital 5.1,No. of discs,2 disc(s),Duration,152 mins"
ready-player-on,£19.99,5051892212090,"Actors,T.J. Miller, Simon Pegg, Mark Rylance, Ben Mendelsohn, Tye Sheridan, Olivia Cooke, Lena Waithe, Hannah John-Kamen, Win Morisaki, Philip Zhao,Directed by,Steven Spielberg,Additional info,Language(s): English, 4K: German, Blu-ray: Castilian Spanish, Italian, Hard of Hearing Subtitles: 4K: English, German. Blu-ray: English, Italian, Subtitles: 4K: Croatian, Greek, Hebrew, Portuguese. Blu-ray: Castilian Spanish, Danish, Finnish, Greek, Norwegian, Swedish, Interactive Menu, Screen ratio 1:1.78, Dolby TrueHD, 5.1 DTS-HD Master Audio, Dolby Digital 5.1,No. of discs,2 disc(s),Duration,138 mins"
blackkklansma,£19.99,5053083174057,"Actors,Adam Driver, Ashlie Atkinson, Ryan Eggold, Jasper Paakkonen, Corey Hawkins, John David Washington, Paul Walter Hauser, Laura Harrier, Robert John Burke, Topher Grace,Directed by,Spike Lee,Additional info,Language(s): English, BR: French, Hard of Hearing Subtitles: English, Subtitles: BR: Arabic, Dutch, French, Interactive Menu, Screen ratio 1:2.40,No. of discs,2 disc(s),Duration,135 mins"
the-prestig,£19.99,5051892211024,"Actors,Christian Bale, David Bowie, Rebecca Hall, Michael Caine, Andy Serkis, Scarlett Johansson, Hugh Jackman, Daniel Davis, Samantha Mahurin, Piper Perabo,Directed by,Christopher Nolan,Additional info,Anamorphic (16:9), Language(s): 4K: English, French, German, 4K: Brazilian Portuguese, Castilian Spanish, Czech, Hungarian, Italian, Latin Spanish, Mandarin, Polish, Russian, Thai, Turkish; Blu-ray: English, Hard of Hearing Subtitles: English, Subtitles: 4K: German SDH, Italian SDH, Arabic, Brazilian Portuguese, Cantonese, Castilian Spanish, Complex Chinese, Croatian, Czech, Danish, Dutch, Finnish, French, Greek, Hebrew, Hungarian, Hungarian, Korean, Latin Spanish, Norwegian, Polish, Portuguese, Romanian, Russian, Simplified Chinese, Swedish, Thai, Turkish; Blu-ray: English, German, French, Castilian Spanish, Dutch, Swedish, Norwegian, Danish, Finnish, Interactive Menu, Screen ratio 1:2.35, 5.1 DTS-HD Master Audio, Dolby Digital,No. of discs,3 disc(s),Duration,130 mins"
american-mad,£19.99,5053083135935,"Actors,Caleb Landry Jones, Domhnall Gleeson, Tom Cruise, Jayma Mays, Jesse Plemons, Sarah Wright, Lola Kirke, Alejandro Edda, Caleb Landry Jones, Sarah Wright Olsen, Jed Rees, E. Roger Mitchell, Connor Trinneer, Benito Martinez,Directed by,Doug Liman,Additional info,Language(s): English, Hard of Hearing Subtitles: English, Interactive Menu, Screen ratio 1:1.85,No. of discs,2 disc(s),Duration,155 mins"
the-wizard-of-o,£19.99,5051892223997,"Actors,Judy Garland, Margaret Hamilton, Charley Grapewin, Clara Blandick, Ray Bolger, Jack Haley, Bert Lahr, Mitchell Lewis, Frank Morgan, Singer Midgets, The, Billie Burke, Pat Walsh,Directed by,King Vidor, Victor Fleming,Additional info,Language(s): English, 4K: French, German, Russian, Thai; Blu-ray: French, 4K: Latin Spanish, Czech, Hungarian, Polish; Blu-ray: Brazilian Portuguese, Castilian Spanish, Italian, Hard of Hearing Subtitles: English, German, Italian (Blu-ray), Subtitles: 4K: Arabic, Castilian Spanish, Complex Chinese, Czech, Dutch, French, Hungarian, Korean, Latin Spanish, Polish, Russian, Thai; Blu-ray: Brazilian Portuguese, Castilian Spanish, Complex Chinese, Danish, Dutch, Finnish, French, Latin Spanish, Norwegian, Swedish, Interactive Menu, Screen ratio 1:1.78, 5.1 DTS-HD Master Audio, Dolby Digital 5.1, Dolby Mono,No. of discs,2 disc(s),Duration,102 mins"
blade-runner-the-final-cu,£19.99,5051892209472,"Actors,William Sanderson, M. Emmet Walsh, Joseph Turkel, Harrison Ford, Joanna Cassidy, Rutger Hauer, Sean Young, Edward James Olmos, Daryl Hannah, Brion James,Directed by,Ridley Scott,Additional info,Language(s): 4K Blu-ray: English, 4K Blu-ray: Brazilian, Czech, French, German, Italian, Polish, Portuguese, Russian, 4K Blu-ray: Latin Spanish, Blu-ray: English, Castilian Spanish, Subtitles: 4K Blu-ray: Arabic, Brazilian Portuguese, Cantonese, Castilian Spanish, Complex Chinese, Danish, Dutch, English, European Portuguese, Finnish, French, German, Hebrew, Italian, Korean, Latin Spanish, Norwegian, Polish, Russian, Simplified Chinese, Swedish, Turkish. Blu-ray: Castilan Spanish, Danish, Dutch, English, Finnish, French, German, Italian, Norwegian, Portuguese, Swedish, Interactive Menu, Screen ratio 1:1.78, Dolby TrueHD, Dolby Digital 5.1, Dolby Digital 2.0, Dolby Digital 5.1,No. of discs,2 disc(s),Duration,117 mins"
dunkir,£19.99,5051892210034,"Actors,Tom Hardy, Aneurin Barnard, Jack Lowden, Harry Styles, Fionn Whitehead, James D'Arcy, Cillian Murphy, Mark Rylance, Kenneth Branagh,Directed by,Christopher Nolan,Additional info,Language(s): English, French (4K), Italian, 4K: Czech, Hungarian, Mandarin, Polish, Russian, Thai, Turkish. Blu-ray: Castilian Spanish, Hard of Hearing Subtitles: English, Italian, Subtitles: 4K: Arabic, Cantonese, Complex Chinese, Croatian, Czech, Danish, Dutch, Finnish, French, Greek, Hebrew, Hungarian, Korean, Norwegian, Polish, Portuguese, Romanian, Russian, Simplified Chinese, Swedish, Thai, Turkish. Blu-ray: Castilian Spanish, Danish, Finnish, Norwegian, Swedish, Interactive Menu, Screen ratio 1:1.78, 5.1 DTS-HD Master Audio, Dolby Digital 5.1,No. of discs,3 disc(s),Duration,106 mins"
john-wick-(1,£19.99,5051892209205,"Actors,Willem Dafoe, Alfie Allen, Keanu Reeves, Ian McShane, John Leguizamo, Dean Winters, Adrianne Palicki, Omer Barnea, Bridget Moynahan, Michael Nyqvist,Directed by,Chad Stahelski,Additional info,Language(s): English, Russian, Hard of Hearing Subtitles: English, Subtitles: English, Interactive Menu, Screen ratio 1:1.78, Dolby TrueHD, Dolby Digital 5.1,No. of discs,2 disc(s),Duration,101 mins"
king-arthur-legend-of-the-swor,£19.99,5051892205689,"Actors,Annabelle Wallis, Aidan Gillen, Djimon Hounsou, Eric Bana, Jude Law, Charlie Hunnam, Katie McGrath, Astrid Berges-Frisbey, Kingsley Ben-Adir, Hermione Corfield, David Beckham, Mikael Persbrandt,Directed by,Guy Ritchie,Additional info,Language(s): English, Italian, 4K: Castilian Spanish, Czech, Hungarian, Polish, Russian, Thai, Castilian Spanish, French, Hard of Hearing Subtitles: English, German, Italian, Subtitles: 4K; Arabic, Cantonese, Castilian Spanish, Compex Chinese, Czech, Danish, Dutch, European Portuguese, Finnish, French, Hugarian, Korean, Norwegian, Polish, Russian, Swedish, Thai. Blu-ray: Castilian Spanish, Danish, Dutch, Finnish, French, Icelandic, Norwegian, Swedish, Interactive Menu, Screen ratio 1:1.78, Dolby TrueHD, 5.1 DTS-HD Master Audio, Dolby Digital 5.1, Dolby Digital 5.1,No. of discs,2 disc(s),Duration,126 mins"
